Distancing measure, Percent Distancing, Percent Infected, Num Dead, Time to eradicate
NONE, 1, 0.02, 0, 25112
NONE, 1, 0.02, 0, 14039
NONE, 1, 0.02, 27, 46161
NONE, 1, 0.02, 0, 20700
NONE, 1, 0.02, 0, 19853
NONE, 1, 0.02, 0, 14020
NONE, 1, 0.02, 0, 14027
NONE, 1, 0.02, 24, 75628
NONE, 1, 0.02, 0, 14024
NONE, 1, 0.02, 34, 90546

LIGHT, 1, 0.02, 31, 68479
LIGHT, 1, 0.02, 0, 14015
LIGHT, 1, 0.02, 30, 50835
LIGHT, 1, 0.02, 34, 115570
LIGHT, 1, 0.02, 39, 94706
LIGHT, 1, 0.02, 37, 71813
LIGHT, 1, 0.02, 39, 81701
LIGHT, 1, 0.02, 0, 14019
LIGHT, 1, 0.02, 0, 14029
LIGHT, 1, 0.02, 27, 71205

LIGHT, 1, 0.06, 24, 56173
LIGHT, 1, 0.06, 34, 61102
LIGHT, 1, 0.06, 28, 65065
LIGHT, 1, 0.06, 38, 86678
LIGHT, 1, 0.06, 44, 61609
LIGHT, 1, 0.06, 9, 87082
LIGHT, 1, 0.06, 32, 49920
LIGHT, 1, 0.06, 37, 87094
LIGHT, 1, 0.06, 42, 83347
LIGHT, 1, 0.06, 36, 73701

LIGHT, 1, 0.1, 42, 82921
LIGHT, 1, 0.1, 40, 61776
LIGHT, 1, 0.1, 4, 71008
LIGHT, 1, 0.1, 37, 56933
LIGHT, 1, 0.1, 35, 54683
LIGHT, 1, 0.1, 32, 83098
LIGHT, 1, 0.1, 36, 72027
LIGHT, 1, 0.1, 40, 139874
LIGHT, 1, 0.1, 26, 93751
LIGHT, 1, 0.1, 40, 65346

LIGHT, 1, 0.2, 18, 26540
LIGHT, 1, 0.2, 39, 56708
LIGHT, 1, 0.2, 35, 40240
LIGHT, 1, 0.2, 44, 54957
LIGHT, 1, 0.2, 40, 44916
LIGHT, 1, 0.2, 35, 32320
LIGHT, 1, 0.2, 37, 52966
LIGHT, 1, 0.2, 34, 40336
LIGHT, 1, 0.2, 29, 42663
LIGHT, 1, 0.2, 22, 39313

LIGHT, 1, 0.3, 29, 30524
LIGHT, 1, 0.3, 41, 47390
